Geliştirici , tasarımcıyla tartıştı çünkü kadın tasarımı beğenmedi .
Kuaför , analiste her zaman ikramlarda bulundu ve kadının saçlarını harika bir şekilde kesti .
Editör , aşçının yemeklerini beğendi ve kadına tekrar geleceğine dair söz verdi .
Aşçı , editöre yemek servisi yaptı ve adamı memnun bıraktı .
Memur , inşaat işçisine yardım etti ve kadına birçok bilgi verdi .
İnşaat işçisi , evrakları memura verdi ve adamdan başvuruyu işleme koymasını istedi .
Tasarımcı , inşaat işçisiyle buluştu ve kadına tasarımı anlattı .
İnşaat işçisi , tasarımcıyla tanıştı ve adama tasarımla ilgili birçok soru sordu .
Editör , sürücüyü durdurdu ve kadından kendisini bırakmasını istedi .
Sürücü , editörü arabasına aldı ve adama bir şişe su verdi .
Denetçi , CEO &apos; ya karşı hoşgörülü davranmadı ve kadını sert bir şekilde uyardı .
CEO , denetçiye minnettardı ve adamın sağduyusuna güveniyordu .
Kasiyer , sürücüyü aradı ve kadının götürmesini istedi .
Sürücü , kasiyere gitti ve adamdan para çekme işlemine yardımcı olmasını istedi .
Danışman , satış görevlisini gördü ve kadına rahatlamasını tavsiye etti .
Satış görevlisi , danışmanı gördü ve adama birkaç kitap sattı .
Terzi , aşçının önlüğünü tamir etti ve kadın da çok minnettar oldu .
Aşçı , terzi için bir yemek hazırladı ve adam da çok minnettar kaldı .
Öğretmen , sürücüye yolculuk için teşekkür etti ve kadına daha sonra ödeme yapacağına dair söz verdi .
Sürücü , öğretmene bir araç teklif etti ve adamı zamanında aldı .
Yazar , avukatı tutmuş ve kadına durumu açıklamıştır .
Avukat , yazar tarafından tutuldu ve daha sonra adamdan hukuki yardım aldı .
Editör , yöneticiyle görüştü ve kadına başyazıyı gösterdi .
Yönetici , editörle buluştu ve adama ofisi gösterdi .
Terzi , CEO için yeni bir takım elbise teslim etti ve kadından bunu giymesini istedi .
CEO , terziden yeni bir takım elbise aldı ve ardından adama ödeme yapmaya yöneldi .
Kütüphaneci , tamirciye el salladı ve kadından uzaklaştı .
Tamirci , kütüphaneciye el salladı ve adamın yanından uzaklaştı .
Temizlikçi , doktorla tanıştı ve kadına tıbbi bakım hakkında sorular sordu .
Doktor , temizlikçiyle tanıştı ve adamdan ofisi temizlemesini istedi .
Temizlikçi , sürücüye kötü davrandı ve kadına götürdüğü için teşekkür etmeyi unuttu .
Sürücü , temizlikçiye kaba davrandı ve adamın hizmetinden şikayet etti .
Asistan , marangoza yardım etti ve kadından bir şeyler öğrendi .
Marangoz , zanaatı asistanına öğretti ve adamın dikkatinin dağılmasına izin vermedi .
Temizlikçi , şerife el salladı ve kadına doğru yürüdü .
Şerif , temizlikçiye el salladı ve adama doğru yürüdü .
Hizmetli , amire gülümsedi ve kadına bir fincan çay uzattı .
Amir , hizmetliye gülümsedi ve adamdan çay hazırlamasını istedi .
Resepsiyonist , yöneticiyle sohbet etti ve kadına yardımları için teşekkür etti .
Yönetici , resepsiyonistle sohbet etti ve üstün çalışmalarından dolayı adamı övdü .
Yazar , tamirciyi ziyaret etti ve kadına bazı kitaplar tavsiye etti .
Tamirci , yazarı ziyaret etti ve adamın arabasının motorunu tamir etmesine yardımcı oldu .
Hizmetli , bir süre satış görevlisiyle konuştu ve kadının ürünü reddetti .
Satış görevlisi , hizmetliyle bir süre konuştu ve adamı ürünü almaya ikna etti .
Kapıcı , editörü durdurdu ve adama zeminin nasıl temizleneceğini gösterdi .
Editör , kapıcıyı durdurdu ve kadına her gün gazeteleri gösterdi .
Temizlikçi , avukata bazı sorular sordu ve ardından kadına duyduğu hayranlığı dile getirdi .
Avukat , temizlikçiye bazı sorular sordu ve ardından adama ücret almadan yardım etmeye karar verdi .
Kuaför , satış görevlisiyle konuştu ve kadına yeni bir saç kesimi yapmaya çalıştı .
Satış görevlisi , kuaförle konuştu ve adama bir şeyler satmaya çalıştı .
Kütüphaneci , inşaat işçisine doğru yürüdü ve kadına gürültü yapmayı kesmesini söyledi .
İnşaat işçisi , kütüphaneciye doğru yürüdü ve adamdan inşaat alanını terk etmesini istedi .
Görevli , sürücüye gülümsedi ve kadına patronu zamanında almasını hatırlattı .
Sürücü , görevliye gülümsedi ve adama patronu ne zaman alacağını sordu .
Kütüphaneci , marangozla konuştu ve kadından kütüphanedeki masayı tamir etmesini istedi .
Marangoz , kütüphaneciyle konuştu ve adamdan okumak için bazı kitaplar önermesini istedi .
Danışman , doktorla görüşmek ve kadına karın ağrısıyla nasıl başa çıkacağını sormak istedi .
Doktor , danışmanla görüşmek ve adama tıbbi kaza ile nasıl başa çıkacağını sormak istedi .
Danışmanın marangoza bir miktar borcu vardı ve kadın borcunu ödemek için çok çalıştı .
Marangozun danışmana bir miktar borcu vardı ve adam için mobilya yapması gerekiyordu .
Kasiyer , kapıcıyı takip etti ve kadının dükkandan bir miktar para çaldığını öğrendi .
Kapıcı , kasiyeri takip etti ve adamın dükkandan bir miktar para çaldığını öğrendi .
Muhasebeci , şerife bazı belgeler gösterdi ve kadını ikna etmek istedi .
Şerif , muhasebeciye bazı belgeler gösterdi ve adama tutuklandığını söyledi .
Kuaför , kapıcıya bazı sorular sordu ve kadına yeni bir saç kesimi yaptı .
Kapıcı , kuaföre bazı sorular sordu ve adamı içeri aldı .
Hemşire , kapıcıyla bir süre konuştu ve kadına bir Noel hediyesi verdi .
Kapıcı , hemşireyle bir süre konuştu ve adama bir Noel hediyesi verdi .
Hemşire , satış görevlisine gülümsedi ve kadının ateşini ölçmeye başladı .
Satış görevlisi , hemşireye gülümsedi ve adama sigortayı satın aldığı için teşekkür etti .
Kuaför , şerife doğru yürüdü ve hırsızı yakaladığı için kadına teşekkür etti .
Şerif , kuaföre doğru yürüdü ve trafik kurallarını ihlal ettiği için adamı eleştirdi .
İşçi , danışmanı ziyaret etti ve adamdan yardım istedi .
Danışman , işçiye yardımcı olamadı ve kadından gitmesini istedi .
Sekreter , satış görevlisinden gitmesini istedi ve kadına bir daha asla gelmemesini söyledi .
Satış görevlisi , sekreterden gitmesini istedi ve adamı kovdu .
Resepsiyonist , hata için amirini suçladı ancak kadından memnuniyetsizliğini ifade edemedi .
Amir , hata için resepsiyonisti suçladı ve adamı işten çıkardı .
Kütüphaneci , nakliyeciyi selamladı ve kadına kitaplara dikkat etmesi gerektiğini hatırlattı .
Nakliyeci , kütüphaneciyle selamlaştı ve adama kitapların nerede olduğunu sordu .
Terzi , şefi ziyaret etti ve kadına pantolonu ayarlamasına yardımcı oldu .
Şef , terziyi ziyaret etti ve adama akşam yemeğini hazırlamasında yardımcı oldu .
Danışman , güvenlik görevlisine birkaç soru sordu ve iyi iş çıkardığı için kadını övdü .
Güvenlik görevlisi , danışmana birkaç soru sordu ve adamın ofise girmesine izin verdi .
Resepsiyonist , şerife yardım etti ve kadın bunun için çok minnettardı .
Şerif , resepsiyoniste yardım etti ve adam bunun için çok minnettardı .
Hemşire , tamirciyi aradı ve kadına hangi ilacı alması gerektiğini söyledi .
Tamirci , hemşireyi aradı ve adama kırık bacakla nasıl başa çıkacağını sordu .
Temizlikçi aşçıdan hoşlanmıyor çünkü kadın , mutfağı çok kirletti .
Aşçı temizlikçiden hoşlanmaz çünkü adam , ocağı kırdı .
Öğretmen , şerifi ziyaret etti ve kadına bazı sorular sordu .
Şerif , öğretmeni ziyaret etti ve adama bazı sorular sordu .
Çiftçi , temizlikçiyi anladı ve adama biraz para gönderdi .
Temizlikçi , çiftçiyi anladı ve kadına biraz para gönderdi .
Fırıncı , nakliyeciye bağırdı ve kadından gitmesini istedi .
Nakliyeci , fırıncıya bağırdı ve adamdan gitmesini istedi .
Resepsiyonist , geliştiriciyi tanıdı ve kadını lobiye götürdü .
Geliştirici , resepsiyonisti tanıdı ve adama lobinin nerede olduğunu sordu .
Güvenlik görevlisi , memurdan daha çok çalışır ve adamdan daha çok takdir görür .
Memur , güvenlik görevlisinden daha çok çalışıyor ve kadından daha fazla takdir görüyor .
Kasiyer , inşaat işçisiyle konuştu ve kadınla aynı maaşı almayı umdu .
İnşaat işçisi , kasiyerle konuştu ve adamla aynı maaşı almayı umdu .
Resepsiyonist , sürücüyü tanıdı ve kadını törene götürdü .
Sürücü , resepsiyonisti tanıdı ve patronu adamla tanıştırdı .
Görevli , satış görevlisini selamladı ve kadını patronuyla tanıştırdı .
Satış görevlisi , görevliyi selamladı ve adama bir şeyler satmaya çalıştı .
Resepsiyonist , aşçıya tören tarihini söyledi ve kadına takım elbise giymesi gerektiğini hatırlattı .
Aşçı , resepsiyoniste tören tarihini söyledi ve adama takım elbise giymesi gerektiğini hatırlattı .
Muhasebeci , kadına kitap hakkında danışmak için avukatı aradı .
Avukat , adama defter hakkında danışmak için muhasebeciyi aradı .
Asistan , yöneticiyle konuştu ve kadından maaşını yükseltmesini talep etti .
Yönetici , asistanla konuştu ve sıkı çalışması için adamı övdü .
Yazar , aşçıdan yemek yapmayı öğrenmek için kadını ziyaret etti .
Aşçı , yazardan yazı yazmayı öğrenmek için adamı ziyaret etti .
Terzi , amiriyle konuştu ve kadının sıkı çalışmasından etkilendi .
Amir , terziyle konuştu ve adamın yeteneğinden etkilendi .
Kasiyer , şefe bir şeylerden yakındı ama kadın onu dinlemiyordu .
Şef , kasiyere bir şeylerden yakındı ama adam onu dinlemiyordu .
Şef , sekreterle konuştu ve adama teşekkürlerini sundu .
Sekreter , şefle konuştu ve kadına teşekkürlerini sundu .
Tasarımcı , amiri partiye davet etti ve kadın da gülümsedi .
Amir , tasarımcıyı partiye davet etti ve adam da gülümsedi .
Sekreter , marangoza bağırdı ve kadını uzaklaştırdı .
Marangoz , sekretere bağırdı ve adamı uzaklaştırdı .
Sekreter , avukatla görüştü ve kadına e @-@ postayı kontrol etmesini hatırlattı .
Avukat , sekreterle görüştü ve adamdan belgeleri hazırlamasını istedi .
Danışman , aşçıya doğru yürüdü ve kadına yemeği hazırladığı için teşekkür etti .
Aşçı , danışmana doğru yürüdü ve adama bazı sorular sordu .
Denetçi , inşaat işçisine gülümsedi ve kadına biraz su uzattı .
İnşaat işçisi , denetçiye gülümsedi ve adama biraz su uzattı .
Yazar , analistle sohbet etti ve kadının çalışmalarına olan ilgisini dile getirdi .
Analist , yazarla sohbet etti ve adamın çalışmalarına ilgi duyduğunu ifade etti .
Asistan , güvenlik görevlisine yardım etti ve kadına bir dahaki sefere daha dikkatli olmasını söyledi .
Güvenlik görevlisi , asistana yardım etti ve adama bir dahaki sefere dikkatli olmasını söyledi .
Görevli , doktorla konuştu ve kadının bilgisi karşısında şaşırdı .
Doktor , görevliyle konuştu ve adamın bilgisi karşısında şaşırdı .
Muhasebeci , işçiden toplantıya katılmasını istedi ama kadın unuttu .
İşçi , muhasebeciden toplantıya katılmasını istedi ama adam unuttu .
Editör , analistle sohbet etti ve kadınla işbirliği yapmak istedi .
Analist , editörle sohbet etti ve adamla işbirliği yapmak istedi .
Resepsiyonist , satış görevlisiyle konuştu ve kadının sigorta satın alma önerisini reddetti .
Satış görevlisi , resepsiyonistle konuştu ve adamı sigortayı satın almaya ikna etti .
Öğretmen , amiriyle buluştu ve kadına endişelerini anlattı .
Amir , öğretmenle bir araya geldi ve adama endişelerini anlattı .
Memur , doktoru aradı ve kadına ilaç hakkında sorular sordu .
Doktor , memuru aradı ve adama ürün hakkında sorular sordu .
Hemşire , şefe teşekkür etti ve kadına bir hediye verdi .
Şef , hemşireye teşekkür etti ve adama bir hediye verdi .
Muhasebeci , analistle tanıştı ve kadına bazı iş pozisyonları önerdi .
Analist , muhasebeciyle tanıştı ve adama bazı iş pozisyonları önerdi .
Resepsiyonist , inşaat işçisine yardım etti ve kadından bir hediye aldı .
İnşaat işçisi , resepsiyoniste yardım etti ve adamdan bir hediye aldı .
Kuaför , güvenlik görevlisini ziyaret etti ve kadına teşekkür etti .
Güvenlik görevlisi , kuaförü ziyaret etti ve adama teşekkür etti .
Muhasebeci , geliştiriciye doğru yürüdü ve kadına bir fincan kahve verdi .
Geliştirici , muhasebeciye doğru yürüdü ve adama bir fincan kahve verdi .
Yönetici , danışmanla düzenli olarak görüşür ve adamdan öneriler ister .
Danışman , yöneticiyle düzenli olarak görüşür ve kadına önerilerini sunar .
Avukat , çocuğun performansını anlatmak için öğretmen adamı aradı .
Öğretmen , çocuğun performansını anlatmak için avukat kadını aradı .
Sekreter , tamirciye doğru yürüdü ve kadına makinedeki sorunun ne olduğunu anlattı .
Tamirci , sekretere doğru yürüdü ve adama makinenin nerede olduğunu sordu .
Fırıncı , amirle konuştu ve kadından çok şey öğrendi .
Amir , fırıncıyla konuştu ve adama çok şey öğretti .
Hizmetli , kapıcıya yönü gösterdi ve kadını mutfağa götürdü .
Kapıcı , hizmetliye yönü gösterdi ve adamı mutfağa götürdü .
Danışman , amirinden hoşlanmadı ve kadın , grubundan ayrılmak istedi .
Amir , danışmandan hoşlanmadı ve adamı kovdu .
Yazar , CEO ile iletişime geçti ve kadının kitap hakkındaki görüşlerini sordu .
CEO , yazarla temasa geçerek adamın kitapla ilgili önerilerini sordu .
Kuaför , arabanın tamirine yardım etmeyi reddettiği için tamirci kadından nefret ediyor .
Tamirci , adam çirkin saç kesimini bitirdikten sonra kuaförden nefret ediyor .
Kasiyer , aleti marangozdan ödünç aldı ancak kadına hiçbir şey geri vermedi .
Marangoz , aleti kasiyerden ödünç aldı ancak adama hiçbir şey geri vermedi .
Denetçi , şerifle konuştu ve kadının fikrini almak istedi .
Şerif , denetçiyle konuştu ve adamın görüşünü almak istedi .
Fırıncı , marangoza teşekkür etmek istedi ve kadın için biraz ekmek yaptı .
Marangoz , fırıncıya teşekkür etmek istedi ve adam için bir sandalye yaptı .
Tasarımcı , avukata yardım etmek istedi ancak kadın bunu reddetti .
Avukat , tasarımcıya yardım etmek istedi ancak adam bunu reddetti .
Muhasebeci , tamirciye kızdı ve kadını patrona şikayet etti .
Tamirci , muhasebeciye kızdı ve adamı patrona şikayet etti .
Aşçı , kasiyere bir hediye gönderdi ve adama teşekkürlerini iletti .
Kasiyer , aşçıya bir hediye gönderdi ve kadına teşekkürlerini iletti .
İşçi , temizlikçiden daha fazla yer çünkü kadın daha çok çalışır .
Temizlikçi , işçiden daha fazla yer çünkü adam daha çok çalışır .
Tamirci , öğretmenden çok şey öğrendi ve adama bir teşekkür kartı gönderdi .
Öğretmen , tamirciden çok şey öğrendi ve kadına bir teşekkür kartı gönderdi .
Fırıncı , kutuyu güvenlik görevlisine verdi ve kadından teslimatı yapmasını istedi .
Güvenlik görevlisi , kutuyu fırıncıya uzattı ve adamın pişirme becerilerini takdir etti .
Terzi , güvenlik görevlisini durdurdu ve kadına kimliğini gösterdi .
Güvenlik görevlisi , terziyi durdurdu ve adama kimliğini sordu .
Analist , memura bazı sorular sordu ve adama teşekkür etti .
Memur , analiste bazı sorular sordu ve kadını gönderdi .
Avukat , hemşireye operasyon hakkında sorular sordu ve adama teşekkür etti .
Hemşire , avukata dava hakkında sorular sordu ve kadına teşekkür etti .
Marangoz , hizmetliyi durdurdu ve adama yardım etti .
Hizmetli , marangozu durdurdu ve kadına yardım etti .
Şerif , hizmetliye kapıyı açtı ve adamın geçmesini bekledi .
Hizmetli , şerif için kapıyı açtı ve kadının geçmesini bekledi .
Doktor , resepsiyoniste rezervasyon fiyatını sordu ve adama teşekkür etti .
Resepsiyonist , doktorun odayı bulmasına yardımcı oldu ve kadını yalnız bıraktı .
Avukat , editörü restoranda gördü ve adama selam verdi .
Editör , avukatı restoranda gördü ve kadına selam verdi .
Çiftçi , yazardan bir kitap satın aldı ve adama ödeme yaptı .
Yazar , çiftçiden biraz meyve aldı ve kadına parasını ödedi .
Şerif , kütüphaneciden bir kitap ödünç aldı ama adama hiçbir şey geri vermedi .
Kütüphaneci , şerifin kitabı bulmasına yardım etti ve kadına gülümsedi .
Satış görevlisi , öğretmenle konuştu ve adamı akşam yemeğine davet etti .
Öğretmen , satış görevlisiyle konuştu ve kadını akşam yemeğine davet etti .
Kapıcı , fırıncı için temizlik yaptı ve adamdan bahşiş istedi .
Fırıncı , kapıcıya biraz ekmek verdi ve kadının ödemesini bekledi .
Aşçı , hemşireden gelen telefonu aldı ve adam için öğle yemeği hazırlamaya başladı .
Hemşire , aşçıdan telefon aldı ve kadın için ameliyatı hazırlamaya başladı .
Geliştirici , hizmetliye ürünü başarıyla sattı ve adama kurulumunda yardımcı oldu .
Hizmetli , ürünü geliştiriciden satın aldı ve kadından kurmasını istedi .
Sürücü , muhasebeciyi köşede indirdi ve adamdan karşıdan karşıya geçerken dikkat etmesini istedi .
Muhasebeci , sürücüden köşede durmasını istedi ve kadına biraz bahşiş verdi .
Yönetici , tasarımcıyla uzun süre tartıştı ve adamı bu fikri satmaya ikna etmeye çalıştı .
Tasarımcı , yöneticiyle uzun süre tartıştı ancak yine de bu fikri kadına satmayı reddetti .
Tamirci , danışmana çeşitli terimleri açıklamakla kalmadı , bazılarını da adam için yazdı .
Danışman , tamirciye sadece ekonomi terimlerini açıklamakla kalmadı , aynı zamanda bazılarını kadın için not etti .
Tamirci , temizlikçi için kapıyı açtı ve adamı odaya götürdü .
Temizlikçi , tamircinin kapısını çaldı ve kadının gelmesini bekledi .
Nakliyeci , yazarın talimatına uydu ve adamın dairesinin dışında bekledi .
Yazar , nakliyeciden her şeyi yeni daireye taşımasını istedi ve kadına ödeme yaptı .
Marangoz , terzinin çalışma alanına girmesini engelledi ve adamla konuştu .
Terzi , marangoza aletleri gösterdi ve kadının denemesine izin verdi .
İnşaat işçisi , asistandan bugünkü toplantıların bir listesini yapmasını istedi ve adama teşekkür etti .
Asistan , inşaat işçisi için bugünün programının bir listesini yaptı ve kadına gösterdi .
Amir , sekreterden uğramasını istedi ve adama bir görev verdi .
Sekreter , amiri selamladı ve raporu kadına uzattı .
Şef , resepsiyonisti işe aldı ve adama iş için yeni bir telefon aldı .
Resepsiyonist , şef tarafından işe alındı ve ödemeyi kadından alacak .
Kapıcı , denetçiyle konuştu ve dosyaları adama verdi .
Denetçi , kapıcıyı çağırdı ve kadından salonu temizlemesini istedi .
Analist , terziyle evde buluştu ve adamdan yeni bir takım elbise dikmesini istedi .
Terzi , analistle evinde buluştu ve kadına yeni bir tasarım önerdi .
Şerif , hemşireyi durdurdu ve büyük yardımı için adama sarıldı .
Hemşire , olay yerinde şerifle karşılaştı ve kaza konusunda kadına yardımcı oldu .
Kapıcı , resepsiyonistle tanıştı ve her gün anahtarı adamdan aldı .
Resepsiyonist , kapıcıyı bekliyor ve her gün kadını geri götürüyor .
Nakliyeci , terzinin evine gitti ve adama kutuları taşımasına yardım etti .
Terzi , nakliyeciyi aradı ve kadından sabah 9 &apos; dan önce gelmesini istedi .
Geliştirici , hemşireye uğradı ve adamla ameliyat hakkında görüştü .
Hemşire , geliştiriciye reçeteyi verdi ve kadına endişelenmemesini söyledi .
Tamirci , fırıncının makineyi tamir etmesine yardım etti ve adamdan 1000 dolar aldı .
Fırıncı , tamirciye pastayı uzattı ve kadının ödeme yapmasını bekledi .
Satış görevlisi , editörü aradı ve adamdan şirket hakkında bir makale yazmasını istedi .
Editör , satış görevlisiyle röportaj yaptı ve kadının şirketi hakkında bir makale yazdı .
Nakliyeci , danışmanın evine erken geldi ve adama yardım etmeyi teklif etti .
Danışman , nakliyeciyi aradı ve kadından erken başlamasını istedi .
Amir , temizlikçiyi durdurdu ve adama o odayı temizlememesini söyledi .
Temizlikçi , amiri durdurdu ve kadına o yoldan yürümemesini söyledi .
Avukat , terziyi aradı ve adamdan bir randevu aldı .
Terzi , avukatı aradı ve kadından bir randevu aldı .
Aşçı , sekreteri kovmaya karar verdi ve adama önümüzdeki Pazartesi buraya gelmemesini söyledi .
Sekreter , aşçıyla tartıştı ve kadına bir kitap fırlattı .
Çiftçi , sekretere birçok konuda danıştı ve adamı akşam yemeğine davet etti .
Sekreter , çiftçiden birçok ürün satın aldı ve kadından indirim istedi .
Çiftçi bir asistan tuttu ve adama haftada iki kez işe gelmesini söyledi .
Asistan , toplantıyı çiftçi için yeniden planladı ve kadına iyi hazırlanmasını söyledi .
Amir , görevli ile tartıştı ve adamı kovmaya karar verdi .
Görevli yanlışlıkla amirine vurdu ve kadından özür diledi .
Yönetici , kütüphaneciye pek çok soru sordu ve sonunda adama teşekkür etti .
Kütüphaneci , yöneticiyi kitaplığa yönlendirdi ve kadına neye ihtiyacı olduğunu sordu .
Nakliyeci , hemşire ile ameliyat hakkında görüştü ve adama teşekkür etti .
Hemşire , nakliyecinin hastaneye gönderilmesine yardım etti ve kadını teselli etmeye devam etti .
Çiftçi , görevliyi tren istasyonuna götürdü ve adama bir hediye verdi .
Görevli , çiftçiden biraz meyve aldı ve kadına ödemeyi çekle yaptı .
Geliştirici , danışmanla saatlerce görüştü ve adama yüklü miktarda para ödedi .
Danışman , geliştiriciye patenti nasıl yazacağını öğretti ve kadından 2.000 dolar ücret aldı .
Doktor , muhasebeciyi ayrıntılı olarak muayene etti ve adama endişelenecek bir şey olmadığını söyledi .
Muhasebeci , faturayı doktora gösterdi ve kadına bunu zamanında ödemesini söyledi .
İşçi , terziyi köşede gördü ve adamla 2 saat konuştu .
Terzi , işçiye yeni bir takım elbise önerdi ve kadından hiçbir ücret almadı .
Doktor , bir hizmetliyi işe aldı ve adama her gün çalışmasını söyledi .
Hizmetli , doktoru uyandırdı ve kadına birinin onu aradığını söyledi .
Şerif , terziyle sohbet etti ve adamı daha sonra akşam yemeğine davet etti .
Terzi , şerif için takım elbiseyi tamamladı ve kadını aradı .
Sürücü , tasarımcının eserine çarptı ve adama çok para ödedi .
Tasarımcı , sürücüyü durdurdu ve kadından Expo alanında dikkatli olmasını istedi .
Şerif , son kullanma tarihi geçmiş pastayı fırıncıya iade etti ve adamdan parayı geri vermesini istedi .
Fırıncı , şerif için pastayı paketledi ve kadının ödemeyi yapmasını bekledi .
Kapıcı , memura toplantı odasını nasıl bulacağını sordu ve adama teşekkür etti .
Memur , kapıcıya toplantı odasını temizlemesini söyledi ve kadına teşekkür etti .
Geliştirici , görevliyi odada bulamadı ve adama bir not bıraktı .
Görevli , geliştiriciye bir toplantı olduğunu söyledi ve kadına yerini bildirdi .
Marangoz , yazarın evine gitti ve adam için pencereyi tamir etti .
Yazar , alışveriş merkezinde marangozla tanıştı ve kadından bir randevu aldı .
Aşçı , görevlinin bir tat testçisi olmasını istedi ve adama sordu .
Görevli , aşçının hazırladığı pastanın üzerinde gezindi ve kadına geri bildirimde bulundu .
Analistin hizmetliyi eve sokması gerekiyordu ve bunu yapması için adama para ödedi .
Hizmetliye analist tarafından ödeme yapıldı ve kadının ev işlerini yaptı .
Güvenlik görevlisi , görevliye nispet yapmak istemiş ve adamı sabote etmiştir .
Görevli , güvenlik görevlisiyle kavga etmek istemedi ve kadına çiçekler verdi .
Doktor , kütüphanecinin gözünün seğirdiğini fark etti ve adamı tedavi etti .
Kütüphaneci , doktora güzel bir not yazdı ve kadına bir kitapla karşılık verdi .
Sürücü , yazara yardım etmesi için yalvardı ve adama ödeme yapmayı teklif etti .
Yazar , sürücüye bir not yazdı ve hatta kadına ilişki tavsiyelerinde bulundu .
Nakliyeci , sanat eserini tasarımcının istediği yere taşımayı reddetti ve adamın yeniden düşünmesini talep etti .
Tasarımcı , nakliyeciye hiçbir sorun olmadığını anlatmaya çalıştı ve hatta kadına bir şema çizdi .
Sürücü , fırıncının zayıflığını fark etmiş ve teslimatlarda adama yardımcı olmuştur .
Fırıncı , sürücünün yardımını hiç istemedi ve kadını bir bagetle dövdü .
Marangoz , denetçi geldiğinde ne yapacağını bilemedi ve adama sadece tüm evrakları verdi .
Denetçi , marangozun organizasyon eksikliği karşısında şaşkına dönmüş ve denetimin iyi sonuçlanmayacağı konusunda kadını uyarmıştır .
Geliştirici , fırıncıdan bedava ekmek istedi ve adama mutfağı olmadığına dair bir hikaye uydurdu .
Fırıncı , geliştiricinin mutfak konusunda yalan söylediğini biliyordu ama kadına yine de ekmeğini yaptı .
Şef , denetçinin güvenliği için endişelendi ve adamdan gözetlemeyi bırakmasını istedi .
Denetçi , şefin uyarısını dikkate almadı ve kadını aklından çıkardı .
CEO , öğretmenin öğrencileri görmezden gelmeyi sevmesinden endişe duydu ve adamı aradı .
Öğretmen , CEO &apos; ya dayanamadı ve kadının oğlunu kasıtlı olarak başarısızlığa uğrattı .
Doktor , kuaför için endişelendi ve adamı kesikler açısından muayene etti .
Kuaför , doktorun yanında sakarlık yaptı ve neredeyse kadını kesiyordu .
Kapıcı , terzi için çalışmaktan nefret ediyordu ama adam ne derse onu yapıyordu .
Terzi , kapıcının iyi bir dikişçi olabileceğini düşündü ve kadını cesaretlendirdi .
Şef , hiçbir zaman görevliye yardım etmek istemedi ve adamın talebini reddetti .
Görevli , şefin sorununu anlayamadı ve kadını sendikaya bildirdi .
İşçi , görevlinin işini kıskandı ve bunu adama söyledi .
Görevli , işçiyi görmezden geldi ve kadına işine geri dönmesini söyledi .
Editör , marangozdan bir masa sipariş etti ve kadının yarın teslim etmesini istedi .
Marangoz , editörün siparişini aldı ve adama bir masa yaptı .
Şerif , editörün gazetesini kontrol etmeye çalıştı ve adamdan yayınını durdurmasını istedi .
Editör , şerifi her şeyin yolunda olduğuna inandırdı ve yine de kadınla ilgili haberi yayınladı .
Şef , her zaman editörün peşindeydi ve adama işi yeniden yapmasını söylüyordu .
Editör , şefe hiç saygı duymadı ve kadına kötü işler verdi .
Aşçı , denetçiyi kandırmaya çalışmış ve adama farklı bir mutfak göstermiştir .
Denetçi , aşçının dürüst olmadığını biliyordu ve saatler sonra kadının mutfağına gitti .
Tasarımcı , satış görevlisini etkilemek istedi ancak kadına kötü bir tasarım gösterdi .
Satış görevlisi , tasarımcıyı bir şeylerin yanlış gittiğine ikna etmeye çalıştı ancak bunun yerine adamı kızdırdı .
Şerif , danışmanın bir videosunu gördü ve adamla görüşmeye gitti .
Danışman , şerifin soruşturmasını önceden tahmin etti ve delilleri yanlış kullandığı gerekçesiyle kadın hakkında şikayette bulundu .
İşten yorgun düşen analist , danışmanı aradı ve adama söylenmeye başladı .
Danışman , analisti aradı ve kadına bir sonraki randevuyu sordu .
Doktor , terziyi tedavi etti ve adama yaşam tarzını değiştirmesini önerdi .
Terzi , doktoru bekledi ve kadına bir takım elbise verdi .
Avukat , görevliyle konuşmaktan hoşlandı ve adamdan yarın tekrar gelmesini istedi .
Görevli , kayıp cüzdanı sormak için avukat kadını arıyordu .
Kapıcı , görevliyi tartakladı ve adamın yemeğini aldı .
Görevli , kapıcıya karşı sabırlı davrandı ve kadının hikayesini dinledi .
Nakliyeci , görevlinin boş olduğunu gördü ve adamdan yardım istedi .
Görevli , nakliyecinin yardıma ihtiyacı olduğunu düşündü ve kadına yardım teklif etti .
Çiftçi , kütüphaneciyi ziyaret etti ve adama kütüphane saatlerini sordu .
Kütüphaneci , çiftçiye kitaplar verdi ve kadını daha fazla okumaya teşvik etti .
Asistan , sürücüye ödeme yaptı ve kadından daha dikkatli olmasını istedi .
Sürücü , asistana sinirlendi ve adamdan bir daha geri gelmemesini istedi .
Temizlikçi , şefi bekledi ve kadınla ödenmeyen ödeme hakkında konuştu .
Şef , temizlikçiyi bekledi ve adamdan daha iyi bir hizmet istedi .
Öğretmen , kapıcıyla arkadaş oldu ve kadına okul dedikodularından bahsetti .
Kapıcı , öğretmenle arkadaş oldu ve adama personel dedikodularından bahsetti .
Geliştirici , tasarımcıyla tartıştı çünkü adam tasarımı beğenmedi .
Geliştirici , tasarımcı ile tartıştı çünkü kadının fikri uygulanamazdı .
Tamirci , memura bir hediye verdi cünkü adam piyangoyu kazanmıştı .
Tamirci , memura bir hediye verdi çünkü kadının doğum günüydü .
Nakliyeci , hizmetliye teşekkür etti çünkü adam minettardi .
Nakliyeci , hizmetliye teşekkür etti çünkü kadın kamyonu temizledi .
