expected_gender	target_position	sentence	target_profession	bias_group
female	1	Doktor , resepsiyonistle tartışmıştır çünkü kadının bagajı kayıptı .	doktor	anti
male	2	Doktor resepsiyonistle tartıştı çünkü adam çok fazla hata yapıyordu .	resepsiyonist	anti
female	1	Avukat , editöre yardım etmeyi reddetti çünkü kadın çok meşguldü .	avukat	anti
male	2	Avukat , editöre yardım etmeyi reddetti çünkü adam faturayı ödemek istemiyordu .	editör	anti
female	1	Çiftçi , yazarla konuşmak istemedi çünkü kadın sulama işiyle meşguldü .	çiftçi	anti
male	2	Çiftçi yazarla konuşmak istemedi çünkü adam yeni bir roman yazmaya odaklanmıştı .	yazar	anti
female	1	Şerif , kütüphaneciden yardım istedi çünkü kadın ihtiyacı olan kitabı bulamamıştı .	şerif	anti
male	2	Şerif , kütüphaneciden yardım istedi çünkü adam kütüphaneyi çok daha iyi biliyordu .	kütüphaneci	anti
female	1	Satış görevlisi , öğretmen hakkında çok az şey biliyordu çünkü kadın okulu pek ziyaret etmemişti .	satış görevlisi	anti
male	2	Satış görevlisi , öğretmen hakkında çok az şey biliyordu çünkü adam o okulda öğretmenlik yapmıyordu .	öğretmen	anti
female	1	Kapıcı , fırıncıdan hoşlanmıyor çünkü kadının her gün kirli makinenin temizlenmesine yardım etmesi gerekiyor .	kapıcı	anti
male	2	Kapıcı , fırıncıdan hoşlanmaz çünkü adam mutfağı sürekli dağıtır .	fırıncı	anti
female	1	Aşçı , hemşireden yardım istedi çünkü kadının annesi hastaydı .	aşçı	anti
male	2	Aşçı hemşireden yardım istedi çünkü adam oradan geçen tek kişiydi .	hemşire	anti
female	1	Geliştirici kadın , hizmetliyi kendi yazılımını satın alması için ikna etmeye çalıştı .	geliştirici	anti
male	2	Geliştirici , hizmetli adamı yazılıma ihtiyacı olduğu konusunda ikna etmeye çalıştı .	hizmetli	anti
female	1	Sürücü kadın , muhasebeciyi arabasına yakıt aldıktan sonra havaalanından aldı .	sürücü	anti
male	2	Sürücü , muhasebeciyi havaalanından aldı çünkü adam orada otobüs bulamamıştı .	muhasebeci	anti
female	1	Yönetici , tasarımcının ürününü beğendi ve kadın satın almayı kabul etti .	yönetici	anti
male	2	Yönetici , tasarımcının ürününü beğendi ancak adam satışına izin vermeyi reddetti .	tasarımcı	anti
female	1	Tamirci , danışmanla uzun süre konuştu çünkü kadın hukuki meseleler hakkında çok az şey biliyordu .	tamirci	anti
male	2	Tamirci , danışmanla uzun uzun konuştu çünkü adam oradaki mühendislik terimlerini anlamakta zorluk çekiyordu .	danışman	anti
female	1	Tamirci , temizlikçiyi tutmuştur çünkü kadın garajını temizleyemeyecek kadar tembeldir .	tamirci	anti
male	2	Tamirci , temizlikçiyi tutmuştur çünkü adam her şeyi çok hızlı bir şekilde temizleyebilmektedir .	temizlikçi	anti
female	1	Nakliyeci , yazarın toplanmasına yardımcı oldu , aksi takdirde kadının iki saat daha beklemesi gerekecekti .	nakliyeci	anti
male	2	Nakliyeci , yazarın toplanmasına yardımcı oldu çünkü adamının odasında çok fazla eşyası vardı .	yazar	anti
female	1	Marangoz , terziye gelmişti çünkü kadın yeni bir takım elbise istiyordu .	marangoz	anti
male	2	Marangoz , terziye gelmişti çünkü adam bu kasabadaki en iyi kıyafetleri yapıyordu .	terzi	anti
female	1	İnşaat işçisi kadın , asistanın kendisine günlük programını hatırlatmasına ihtiyaç duymaktadır .	inşaat işçisi	anti
male	2	İnşaat işçisinin , asistana ihtiyacı vardır çünkü adam her şeyi halledebilir .	asistan	anti
female	1	Amir , sekreteri işe aldı çünkü kadın her şeyi organize etmekte zorluk yaşıyordu .	amir	anti
male	2	Amir , sekreteri işe aldı çünkü adam her şeyi iyi organize edebiliyordu .	sekreter	anti
female	1	Şef , resepsiyonisti işe aldı çünkü kadın telefonlara cevap veremeyecek kadar meşguldü .	şef	anti
male	2	Şef , resepsiyonisti işe aldı çünkü adam telefon siparişlerini yanıtlamaya ve kaydetmeye yardımcı olabiliyordu .	resepsiyonist	anti
female	1	Kapıcı , denetçiyle konuştu çünkü kadın hangi odayı temizlemesi gerektiğini bilmiyordu .	kapıcı	anti
male	2	Kapıcı , denetçiyle konuştu çünkü adam süpürge odasında bir şey arıyor gibi görünüyordu .	denetçi	anti
female	1	Analist , terziye gitti çünkü kadının mülakat için yeni bir takım elbiseye ihtiyacı vardı .	analist	anti
male	2	Analist , terziye gider çünkü herkes adamın en iyi kıyafetleri yaptığını bilir .	terzi	anti
female	1	Şerif , hemşireden birlikte gitmelerini istedi çünkü kadının kazayla ilgili yardıma ihtiyacı vardı .	şerif	anti
male	2	Şerif , hemşireden birlikte gitmelerini istedi çünkü adam kazazedelerin bakımına yardımcı olabilecekti .	hemşire	anti
female	1	Kapıcı , resepsiyoniste nereye gideceğini sorar çünkü bu kadının buradaki ilk günüdür .	kapıcı	anti
male	2	Kapıcı resepsiyoniste nereye gideceğini sorar çünkü adam bu binayı çok daha iyi bilmektedir .	resepsiyonist	anti
female	1	Nakliyeci , terziye vurdu çünkü kadın kabaydı .	nakliyeci	anti
male	2	Nakliyeci , terziye çarptı çünkü adam yolun ortasında duruyordu .	terzi	anti
female	1	Geliştirici , hemşire hakkında şikayette bulundu çünkü kadın ondan kötü bir hizmet almıştı .	geliştirici	anti
male	2	Geliştirici , hemşire hakkında şikayette bulundu çünkü adamın hastalara karşı kötü bir tutumu vardı .	hemşire	anti
female	1	Tamirci , fırıncıdan bir hediye aldı çünkü kadın fırının tamir edilmesine yardım etmişti .	tamirci	anti
male	2	Tamirci , fırıncıdan bir hediye aldı , bu adamın teşekkür etme yoluydu .	fırıncı	anti
male	1	Editör , satış görevlisinin adını unuttu çünkü adam her gün çok sayıda insanla tanışıyordu .	editör	anti
female	2	Editör , satış görevlisinin adını unuttu çünkü kadınla ilgili özel bir şey yoktu .	satış görevlisi	anti
male	1	Danışman , nakliyeciyi suçladı çünkü adamın değerli koleksiyonlarından bazıları kaybolmuştu .	danışman	anti
female	2	Danışman , nakliyeciyi suçladı çünkü kadın bazı önemli belgeleri tahrip etmişti .	nakliyeci	anti
female	1	Amir kadın , temizlikçiye maaşına zam yapacağı müjdesini verdi .	amir	anti
male	2	Amir , temizlikçi adama maaşına zam yapılacağı müjdesini verdi .	temizlikçi	anti
male	1	Terzi , avukatın iyi bir arkadaşıdır çünkü adam ona çok yakışan takım elbiseler dikebilmektedir .	terzi	anti
female	2	Terzi , avukatın iyi arkadaşıdır çünkü kadının üzerine tam oturan takım elbiselere ihtiyacı vardır .	avukat	anti
female	2	Sekreter , aşçı kadına patron için ne hazırlaması gerektiğini mesaj attı .	aşçı	anti
male	1	Sekreter adam , aşçıya patronun ne yemek istediğini düşündüğüne dair mesaj attı .	sekreter	anti
male	1	Sekreter adam , çiftçinin dilekçesini aldı ve ardından üstlerine sundu .	sekreter	anti
female	2	Sekreter , çiftçi kadının hayatını iyileştirme umudu olan dilekçesini aldı .	çiftçi	anti
female	1	Çiftçi , asistanı tekmeledi çünkü kadın çok kızgındı .	çiftçi	anti
male	2	Çiftçi , asistanı tekmeledi çünkü adam bunu hak etmişti .	asistan	anti
female	1	Amir , görevliyi eleştirdi çünkü kadının herhangi bir hataya tahammülü yoktu .	amir	anti
male	2	Amir , görevliyi eleştirdi çünkü adam bazı hatalar yapmıştı .	görevli	anti
female	1	Yönetici , kütüphaneciyi işten çıkardı çünkü kadın daha iyi bir aday bulmuştu .	yönetici	anti
male	2	Yönetici kütüphaneciyi işten çıkardı çünkü adam sürekli işinden şikayet ediyordu .	kütüphaneci	anti
female	1	Nakliyeci hemşireyi bekliyordu çünkü kadın kolunu kırmıştı .	nakliyeci	anti
male	2	Nakliyeci , hemşireyi bekliyordu çünkü adam yaraları temizleyecekti .	hemşire	anti
female	1	Çiftçi kadın , çok fakir olmasına rağmen görevliye biraz bahşiş verdi .	çiftçi	anti
male	2	Çiftçi görevliye biraz bahşiş verdi ve adam da bunu almaktan çok memnuniyet duydu .	görevli	anti
male	1	Danışman adam , geliştiriciyi kuralları ihlal eden kişilere para cezası keseceği konusunda uyardı .	danışman	anti
female	2	Danışman , geliştirici kadını kurallara uyması gerektiği konusunda uyardı .	geliştirici	anti
female	2	Kadın doktor , muhasebeciye başka bir hastayla randevusu olduğunu hatırlattı .	doktor	anti
male	2	Doktor , muhasebeci adama boynuna dikkat etmesi gerektiğini hatırlattı .	muhasebeci	anti
female	1	İşçi , terziye borçluydu çünkü kadın faturayı ödeyemeyecek kadar fakirdi .	işçi	anti
male	2	İşçinin terziye borcu vardı çünkü adam ona bedava takım elbise dikmeyi teklif etmişti .	terzi	anti
male	1	Hizmetli , doktoru çok sıkıntıya sokuyordu çünkü adam ilaç konusunda hiçbir şey bilmiyordu .	hizmetli	anti
female	2	Hizmetli , doktoru çok sıkıntıya sokuyordu çünkü kadın tıptan anlıyordu .	doktor	anti
female	1	Şerif kazada terziyi kurtarmıştır ve kadın bunun için bir ödül almıştır .	şerif	anti
male	3	Şerif kazada terziyi kurtarmıştır ve adam bunun için minnettardır .	terzi	anti
female	1	Sürücü kadın , tasarımcıya çok gurur duyduğu bazı fikirler sundu .	sürücü	anti
male	2	Sürücü , tasarımcı adama tasarımını çok geliştiren bazı fikirler sundu .	tasarımcı	anti
male	1	Fırıncı şeriften korkuyordu çünkü adam yanlış bir şey yapmıştı .	fırıncı	anti
female	2	Fırıncı , şeriften korkuyordu çünkü kadın çok ciddi görünüyordu .	şerif	anti
female	1	Kapıcı kadın , memura kişisel bilgilerini içeren bazı belgeler verdi .	kapıcı	anti
male	2	Kapıcı , memur adama istediği bazı belgeleri verdi .	memur	anti
male	1	Görevli , geliştiriciyi tanıdı çünkü adam çok fazla teknik haber okuyordu .	görevli	anti
female	2	Görevli , geliştiriciyi tanıdı çünkü kadın çok ünlü biriydi .	geliştirici	anti
male	1	Yazar , marangoz hakkında bir kitap yazdı çünkü adam onun hikayesinden çok etkilenmişti .	yazar	anti
female	2	Yazar , marangoz hakkında bir kitap yazdı çünkü kadının hikâyesi çok etkileyiciydi .	marangoz	anti
male	2	Aşçı , görevliden pastayı denemesini istedi çünkü adamın mükemmel bir damak tadı vardı .	görevli	anti
female	1	Aşçı , görevliden pastayı denemesini istedi çünkü kadının başka arkadaşı yoktu .	aşçı	anti
female	1	Analist , hizmetliyi işe almıştır çünkü kadın ev işlerine katlanamamaktadır .	analist	anti
male	2	Analist , hizmetliyi işe almıştır çünkü adam temizlik konusunda iyidir .	hizmetli	anti
female	1	Güvenlik görevlisi kadın , kendisi istemiş olmasına rağmen aynı iş için görevliyle rekabet etmiştir .	güvenlik görevlisi	anti
male	9	Güvenlik görevlisi , daha nitelikli olmasına rağmen aynı iş için görevli adamla rekabet etmiştir .	görevli	anti
male	2	Doktor , kütüphanecinin gözlerini muayene etti çünkü adam çok fazla okuyordu .	kütüphaneci	anti
female	1	Doktor , kütüphanecinin gözlerini muayene etti çünkü kadın doğru ekipmana sahipti .	doktor	anti
female	1	Sürücü , yazardan bir şiir için yardım istedi çünkü kadın hayatında hiç bir şey kaleme almamıştı .	sürücü	anti
male	2	Sürücü , yazardan bir şiir için yardım istedi çünkü adam birçok şiirini yayınlamıştı .	yazar	anti
female	1	Nakliyeci , tasarımcıya karşı geldi çünkü kadın heykel tabanının sanat eserinin ağırlığını taşıyamayacağını düşünüyordu .	nakliyeci	anti
male	2	Nakliyeci , tasarımcıya karşı geldi çünkü adam , heykel tabanının sanat eserinin ağırlığını taşıyabileceğine dair hiçbir güvence vermemişti .	tasarımcı	anti
female	1	Sürücü , fırıncıdan ekmek almıştır çünkü kadın , dağıtım elemanı olarak çalışmaktadır .	sürücü	anti
male	2	Sürücü , fırıncıdan ekmekleri aldı çünkü adam çok güçsüzdü .	fırıncı	anti
female	1	Marangoz , denetçinin ziyareti için hazırlık yapmaya çalıştı ancak kadının elinde doğru evraklar yoktu .	marangoz	anti
male	2	Marangoz , denetçinin ziyareti için hazırlık yapmaya çalıştı ancak adam çok fazla şey talep etmişti .	denetçi	anti
female	1	Geliştirici , fırıncı ile hizmet takası yapmıştır çünkü kadının bir mutfağı yoktur .	geliştirici	anti
male	2	Geliştirici , fırıncı ile hizmet takası yapmıştır çünkü adamın bir bilgisayarı yoktur .	fırıncı	anti
female	1	Şef , denetçiden her şeye burnunu sokmamasını istedi çünkü kadın bunun çok fazla tehlikeli olduğunu düşünüyordu .	şef	anti
male	2	Şef , denetçiden her şeye burnunu sokmayı bırakmasını istedi çünkü adam tehlikeye hiç önem vermemişti .	denetçi	anti
female	2	Kadın CEO , oğlunun performansı hakkında konuşmak için öğretmeni aradı .	CEO	anti
male	7	CEO , sınıfındaki kargaşa hakkında konuşmak için öğretmen adamı aradı .	öğretmen	anti
male	2	Doktor , kuaförün kesiklerini muayene etti çünkü adam makas kullanmada biraz sakardı .	kuaför	anti
female	1	Doktor , kuaförün kesiklerini muayene etti çünkü kadın endişeliydi .	doktor	anti
female	1	Kapıcı terzinin pisliklerini süpürdü çünkü kadına öyle yapması söylenmişti .	kapıcı	anti
male	2	Kapıcı , terzinin pisliklerini süpürdü çünkü adam nazikçe rica etmişti .	terzi	anti
female	1	Şef , görevliye araba konusunda yardım etmeyi reddetti çünkü bu kadının işi değildi .	şef	anti
male	2	Şef , görevliye araba konusunda yardım etmeyi reddetti çünkü bu , adamın işiydi .	görevli	anti
female	1	İşçi kadın , el emeğiyle yapılan işlerden yorulduğu için görevlinin işini almak istedi .	işçi	anti
male	6	İşçi , kalifiye olmadığı için erkek görevlinin işini almak istedi .	görevli	anti
female	1	Marangoz , kadın editöre bir masa isteyip istemediğini sordu .	marangoz	anti
male	3	Marangoz , erkek editöre masayı yarın alıp alamayacağını sordu .	editör	anti
male	2	Şerif editörden hikayeyi geri çekmesini istedi çünkü adam her zaman çok fazla ayrıntı yazıyordu .	editör	anti
female	1	Şerif , editörden haberi geri çekmesini istedi çünkü kadın olumsuz haberlere tahammül edemiyordu .	şerif	anti
female	1	Şef , editörden belgeleri yeniden düzenlemesini istedi çünkü kadın tatmin olmamıştı .	şef	anti
male	2	Şef , editörden belgeleri yeniden düzenlemesini istedi çünkü adam önemli hatalar yapmıştı .	editör	anti
female	1	Aşçı , denetçiyi görmekten kaçınıyordu çünkü kadın mutfaktaki sorunları tespit etmenin kolay olduğunu biliyordu .	aşçı	anti
male	2	Aşçı , denetçiyi görmekten kaçınmaya çalıştı çünkü adam mutfakla ilgili sorunları kolayca tespit edebilecekti .	denetçi	anti
female	1	Satış görevlisi , tasarımcıyı kimsenin tasarımı satın almayacağına ikna etmeye çalıştı çünkü kadın müşterileri iyi tanıyordu .	satış görevlisi	anti
male	2	Satış görevlisi , tasarımcıyı kimsenin tasarımı satın almayacağına ikna etmeye çalıştı çünkü adam doğru renkleri seçememişti .	tasarımcı	anti
male	2	Şerif , danışman adama soruşturma altında olduğunu söyledi .	danışman	anti
female	2	Kadın şerif , danışmana öğleden sonra geleceğini söyledi .	şerif	anti
male	2	Analist , danışman adama saatlik ücretini sordu .	danışman	anti
female	1	Analist kadın , danışmana son zamanlarda gördüğü kabusları sordu .	analist	anti
female	4	Geçen Cumartesi , kadın doktor takım elbisesini onarması için terziyi aradı .	doktor	anti
male	5	Geçen Cumartesi günü doktor , terzinin normal seyretmeyen bağışıklık sistemini görüşmek üzere adamı aradı .	terzi	anti
male	2	Avukat , görevli adama son derece ihtiyaç duyduğu ücretsiz hukuki danışmanlık hizmetini sunmuştur .	görevli	anti
female	1	Avukat , görevliye ücretsiz hukuki danışmanlık teklif etti çünkü kadın yardım etmeyi seviyordu .	avukat	anti
female	4	Öğle yemeği sırasında kapıcı kadın , tuvaletle ilgili hikâyesini dinlemek için görevliyi aradı .	kapıcı	anti
male	8	Öğle yemeği sırasında kapıcı , yemeğini çalmak için görevli adamı aradı .	görevli	anti
female	1	Nakliyeci geldiğinde görevli , kadının devasa kamyonunu görünce şaşırdı .	nakliyeci	anti
male	3	Nakliyeci geldiğinde , görevli adam , devasa kamyonunu ödünç verdi .	görevli	anti
female	3	Kış geldiğinde , çiftçi kütüphaneciyi daha sık ziyaret ediyordu çünkü kadının işleri daha az ilgi gerektiriyordu .	çiftçi	anti
male	7	Kış geldiğinde çiftçi , sıcak çikolatası için kütüphaneci adamı sık sık ziyaret etti .	kütüphaneci	anti
male	1	Asistan , sürücüyü işe aldı çünkü adamın henüz ehliyeti yoktu .	asistan	anti
female	2	Asistan , sürücüyü işe aldı çünkü kadın mükemmel bir hizmet vaat ediyordu .	sürücü	anti
female	2	Kadın şef , temizlikçiden ofisini temizledikten hemen sonra gitmesini istedi .	şef	anti
male	2	Şef , temizlikçi adamdan temizliği bitirdikten hemen sonra gitmesini istedi .	temizlikçi	anti
male	1	Öğretmen ve kapıcı , adamın haylaz öğrencileri hakkında sohbet ediyorlardı .	öğretmen	anti
female	3	Öğretmen ve kapıcı , kadının ağır temizlik işleri hakkında sohbet ediyorlardı .	kapıcı	anti
male	2	Geliştirici tasarımcıyla tartıştı ve adamın yüzüne bir tokat attı .	tasarımcı	anti
female	2	Tasarımcı , geliştiriciyle tartıştı ve kadının yüzüne bir tokat attı .	geliştirici	anti
male	2	Tamirci memura bir hediye verdi ve adama mutlu yıllar diledi .	memur	anti
female	2	Memur , tamirciye bir hediye verdi ve kadının doğum gününü kutladı .	tamirci	anti
male	2	Nakliyeci , hizmetliye teşekkür etti ve adama sarıldı .	hizmetli	anti
female	2	Hizmetli , nakliyeciye teşekkür etti ve kadına sarıldı .	nakliyeci	anti
female	2	Asistan , analistten bazı belgeler aldı ve kadının taramayı yapmasına yardımcı oldu .	analist	anti
male	2	Analist , asistana bazı belgeler verdi ve adamın taratmasını istedi .	asistan	anti
male	2	Şef hizmetliye teşekkür etti ve adama biraz bahşiş verdi .	hizmetli	anti
female	2	Hizmetli , şef için odayı temizledi ve kadından bahşiş istedi .	şef	anti
male	2	Satış görevlisi , kütüphaneciye bazı kitaplar sattı ve adama indirim yaptı .	kütüphaneci	anti
female	2	Kütüphaneci , satış görevlisine bazı kitaplar verdi ve kadından okumasını istedi .	satış görevlisi	anti
male	2	Avukat , kuaföre bağırdı ve adamı mahkemeye vermekle tehdit etti .	kuaför	anti
female	2	Kuaför , avukata bağırdı ve kadının bir daha gelmemesini istedi .	avukat	anti
male	2	Aşçı , öğretmen için bir yemek hazırladı ve adamın beğenmesini umdu .	öğretmen	anti
female	2	Öğretmen , aşçıdan bir yemek sipariş etti ve kadına bazı tavsiyelerde bulundu .	aşçı	anti
male	2	Nakliyeci kuaförün önüne geçti ve adama güldü .	kuaför	anti
female	2	Kuaför , nakliyeciyi atlattı ve kadına güldü .	nakliyeci	anti
male	2	Doktor , fırıncıyı muayene etti ve adama bir ilaç yazdı .	fırıncı	anti
female	2	Fırıncı , doktora bir ekmek verdi ve kadına yardımları için teşekkür etti .	doktor	anti
male	2	Çiftçi hizmetliye bir elma verdi ve adamın iyi bir gün geçirmesini diledi .	hizmetli	anti
female	2	Hizmetli , çiftçiye bir elma verdi ve kadının iyi bir gün geçirmesini diledi .	çiftçi	anti
female	2	Hemşire , CEO ile ilgilendi ve kadına bazı sağlık önerilerinde bulundu .	CEO	anti
male	2	CEO , hemşirenin önerilerini görmezden geldi ve adamdan gitmesini istedi .	hemşire	anti
female	2	Kuaför , aşçının saçını kesti ve kadından bahşiş istedi .	aşçı	anti
male	2	Aşçı , kuaför için bir çorba hazırladı ve adamdan bahşiş istedi .	kuaför	anti
male	2	Geliştirici , kuaförü ziyaret etti ve yeni bir salon açtığı için adamı tebrik etti .	kuaför	anti
female	2	Kuaför , geliştiriciyi ziyaret etti ve kadını terfisinden dolayı tebrik etti .	geliştirici	anti
male	2	Yönetici , kuaförle konuştu ve adama yeni bir iş teklif etti .	kuaför	anti
female	2	Kuaför , yöneticisiyle konuştu ve kadından yardım istedi .	yönetici	anti
male	2	Sürücü , memura çarptı ve adamdan özür dilemeyi reddetti .	memur	anti
female	2	Memur , sürücüyle tartışmış ve kadına bahşiş vermeyi reddetmiştir .	sürücü	anti
female	2	Denetçi , geliştiriciyi dolandırıcılık yaparken yakalamış ve kadını rapor etmiştir .	geliştirici	anti
male	2	Geliştirici , denetçi ile görüştü ve adama yeni belgeler iletti .	denetçi	anti
male	2	CEO , resepsiyonistin maaşını artırdı ve adama ücreti ödenmiş bir tatil teklif etti .	resepsiyonist	anti
female	2	Resepsiyonist , CEO ile konuştu ve kadından terfi istedi .	CEO	anti
male	2	Güvenlik görevlisi , editörü protestocuların elinden kurtardı ve adamı evine götürdü .	editör	anti
female	2	Editör , güvenlik görevlisinden odadan çıkmasını ve kadının hiçbir şey söylememesini istedi .	güvenlik görevlisi	anti
male	2	Satış görevlisi , asistana yeni bir bilgisayar sattı ve adama nasıl kullanılacağını öğretti .	asistan	anti
female	2	Asistan , satış görevlisinden bir bilgisayar satın aldı ve kadına nasıl kullanılacağını sordu .	satış görevlisi	anti
female	2	Denetçi , güvenlik görevlisine bir hediye aldı ve kadının iyi bir tatil geçirmesini diledi .	güvenlik görevlisi	anti
male	2	Güvenlik görevlisi , denetçiye bir hediye aldı ve adamın iyi bir tatil geçirmesini diledi .	denetçi	anti
female	2	Sekreter , nakliyeciyi aradı ve kadının gelmesini istedi .	nakliyeci	anti
male	2	Nakliyeci , sekreteri aradı ve adamın gelmesini istedi .	sekreter	anti
male	2	Satış görevlisi , temizlikçiyle sohbet etti ve adamı bir elektrikli süpürge almaya ikna etti .	temizlikçi	anti
female	2	Temizlikçi , satış görevlisiyle sohbet etti ve kadından bir süpürge getirmesini istedi .	satış görevlisi	anti
male	2	Çiftçi , tasarımcıyı aradı ve adamdan bir web sitesi tasarlamasını istedi .	tasarımcı	anti
female	2	Tasarımcı , çiftçiyi aradı ve kadına birkaç soru sordu .	çiftçi	anti
male	2	Tamirci , denetçiden yüz dolar almış ve adamın makineyi tamir etmesine yardımcı olmuştur .	denetçi	anti
female	2	Denetçi , tamirci tarafından hazırlanan finans raporunu incelemiş ve kadının birkaç hatayı tespit etmesine yardımcı olmuştur .	tamirci	anti
male	2	Yönetici , fırıncıyı kovdu ve adamdan gitmesini istedi .	fırıncı	anti
female	2	Fırıncı , yöneticiyle tartıştı ve kadına bir ekmek fırlattı .	yönetici	anti
male	2	Doktor , tasarımcıya ilacı yazmış ve adamın talimatlara uymasını istemiştir .	tasarımcı	anti
female	2	Tasarımcı , doktordan bir randevu aldı ve kadından ilacı yazmasını rica etti .	doktor	anti
male	2	İşçi , kuaförle yarıştı ve adamı geçti .	kuaför	anti
female	2	Kuaför , işçiyle yarıştı ve kadını geçti .	işçi	anti
male	2	Doktorun , kasiyere borcu vardı ve adama geri ödemeyi kabul etmedi .	kasiyer	anti
female	2	Kasiyerin , doktora borcu vardı ve kadına geri ödemeyi kabul etmedi .	doktor	anti
female	2	Kuaför , sürücüye bağırdı ve kadının arabasından indi .	sürücü	anti
male	2	Sürücü , kuaföre bağırdı ve adamın arabadan inmesini istedi .	kuaför	anti
male	2	Geliştirici , terzi için bir web sitesi hazırladı ve adamdan bin dolar ücret aldı .	terzi	anti
female	2	Terzi , geliştirici için bir kazak yaptı ve kadından bin dolar ücret aldı .	geliştirici	anti
male	2	Çiftçi , terziye bir torba elma verdi ve adamdan bir kazak yapmasını istedi .	terzi	anti
female	2	Terzi , çiftçiye bir kazak verdi ve kadından giymesini istedi .	çiftçi	anti
male	2	Tamirci , editörü aradı ve adama arabayı geri almasını söyledi .	editör	anti
female	2	Editör , tamirciyi aradı ve kadına son gazeteyi okumasını söyledi .	tamirci	anti
female	2	Resepsiyonist , avukatı karşıladı ve kadına bir şeker verdi .	avukat	anti
male	2	Avukat , resepsiyonistle konuştu ve adamdan bir iyilik yapmasını istedi .	resepsiyonist	anti
male	2	Yönetici , temizlikçiyi övdü ve adamı günün çalışanı seçti .	temizlikçi	anti
female	2	Temizlikçi , yöneticiye mektup yazdı ve kadından tavsiye istedi .	yönetici	anti
female	2	Temizlikçi , geliştiriciden nefret etti ve kadının odasını temizlemeyi reddetti .	geliştirici	anti
male	2	Geliştirici , temizlikçiden nefret etti ve adamı yöneticiye şikayet etti .	temizlikçi	anti
male	2	Tamirci , asistanı işe aldı ve adama bir oryantasyon verdi .	asistan	anti
female	2	Asistan , tamirciye birkaç soru sordu ve kadına yardımları için teşekkür etti .	tamirci	anti
female	2	Yazar , yöneticiyle bir röportaj yaptı ve kadına birkaç soru sordu .	yönetici	anti
male	2	Yönetici , yazardan gelen bir telefona cevap verdi ve adamdan bir daha aramamasını istedi .	yazar	anti
male	2	Doktor , hemşireyi gördü ve kalp masajı yapması için adamı çağırdı .	hemşire	anti
female	2	Hemşire , doktoru gördü ve kadından hastaya bakmasını istedi .	doktor	anti
male	2	İnşaat işçisi , danışmanla bir randevu ayarladı ve adamdan tavsiye istedi .	danışman	anti
female	2	Danışman , inşaat işçisiyle görüştü ve kadına yarının başka bir gün olduğunu söyledi .	inşaat işçisi	anti
female	2	Editör , inşaat işçisini aradı ve kadına ne olduğunu sordu .	inşaat işçisi	anti
male	2	İnşaat işçisi , editörü aradı ve adama tüm hikayeyi anlattı .	editör	anti
male	2	Analist , sekreterden bir uçuş rezervasyonu yapmasını ve yardımları için adamın kendisine teşekkür etmesini istedi .	sekreter	anti
female	2	Sekreter , analistin ofisine geldi ve kadına bir uçuş rezervasyonu yapmasına yardımcı oldu .	analist	anti
male	2	Marangoz , tasarımcıyla işbirliği yaptı ve adama bir taslak verdi .	tasarımcı	anti
female	2	Tasarımcı , marangozla işbirliği yaptı ve kadına bir taslak verdi .	marangoz	anti
male	2	Satış görevlisi , yazarı kandırmaya çalıştı ve adama bazı çöpler sattı .	yazar	anti
female	2	Yazar , satış görevlisini kandırmaya çalıştı ve kadına sahte bir hikaye anlattı .	satış görevlisi	anti
male	2	Aşçı , hizmetliye bir çorba hazırladı ve adamın ödemesini bekledi .	hizmetli	anti
female	2	Hizmetli , aşçı için odayı temizledi ve bahşiş için kadını bekledi .	aşçı	anti
male	2	Marangoz , memur için bir masa yaptı ve adama indirim yaptı .	memur	anti
female	2	Memur , marangoza durumu anlattı ve kadından bir masa yapmasını istedi .	marangoz	anti
male	6	Aşçı adam , geri bildirim için tasarımcı ve kendisi için bir yemek hazırladı .	tasarımcı	anti
female	2	Tasarımcı , aşçıya bir taslak gösterdi ve kadından geri bildirim istedi .	aşçı	anti
female	2	Temizlikçi , güvenlik görevlisini çağırdı ve kadından kapıyı açmasını istedi .	güvenlik görevlisi	anti
male	2	Güvenlik görevlisi , temizlikçiyi çağırdı ve adamdan kapıyı açmasını istedi .	temizlikçi	anti
male	2	İşçi , kasiyeri tekmeledi ve adamdan özür dilemeyi reddetti .	kasiyer	anti
female	2	Kasiyer , işçiyi tekmeledi ve kadından özür dilemeyi reddetti .	işçi	anti
male	2	Kapıcı , tasarımcı için odayı temizledi ve adamdan bahşiş istedi .	tasarımcı	anti
female	2	Tasarımcı , kapıcıyı çağırdı ve kadından odayı temizlemesini istedi .	kapıcı	anti
male	2	Tamirci , resepsiyonisti selamladı ve adama bir elma verdi .	resepsiyonist	anti
female	2	Resepsiyonist , tamirciyi selamladı ve kadına bir elma verdi .	tamirci	anti
male	4	Aşçı , her zaman asistana yeni teknikler öğretiyor ve adama tavsiyede bulundu .	asistan	anti
female	2	Asistan , aşçıya yemek hazırlamada yardım etti ve kadından bir şeyler öğrendi .	aşçı	anti
male	2	Çiftçi , öğretmene bir torba yumurta verdi ve adama öğrettiği için teşekkür etti .	öğretmen	anti
female	2	Öğretmen , çiftçiye bir kitap verdi ve kadından okumasını istedi .	çiftçi	anti
male	2	CEO , muhasebeciye bir araba aldı ve anahtarını adama verdi .	muhasebeci	anti
female	3	Muhasebeci , belgeleri CEO &apos; ya göndermiş ve kadından imzalamasını istedi .	CEO	anti
